date,component,cases
2019-01-01,PP-MRP,479
2019-02-01,PP-MRP,483
2019-03-01,PP-MRP,502
2019-04-01,PP-MRP,513
2019-05-01,PP-MRP,467
2019-06-01,PP-MRP,448
2019-07-01,PP-MRP,461
2019-08-01,PP-MRP,432
2019-09-01,PP-MRP,405
2019-10-01,PP-MRP,429
2019-11-01,PP-MRP,426
2019-12-01,PP-MRP,446
2020-01-01,PP-MRP,479
2020-02-01,PP-MRP,455
2020-03-01,PP-MRP,465
2020-04-01,PP-MRP,481
2020-05-01,PP-MRP,458
2020-06-01,PP-MRP,462
2020-07-01,PP-MRP,421
2020-08-01,PP-MRP,398
2020-09-01,PP-MRP,444
2020-10-01,PP-MRP,420
2020-11-01,PP-MRP,440
2020-12-01,PP-MRP,434
2021-01-01,PP-MRP,470
2021-02-01,PP-MRP,497
2021-03-01,PP-MRP,480
2021-04-01,PP-MRP,502
2021-05-01,PP-MRP,470
2021-06-01,PP-MRP,456
2021-07-01,PP-MRP,431
2021-08-01,PP-MRP,461
2021-09-01,PP-MRP,423
2021-10-01,PP-MRP,410
2021-11-01,PP-MRP,458
2021-12-01,PP-MRP,442
2022-01-01,PP-MRP,488
2022-02-01,PP-MRP,464
2022-03-01,PP-MRP,481
2022-04-01,PP-MRP,504
2022-05-01,PP-MRP,499
2022-06-01,PP-MRP,469
2022-07-01,PP-MRP,445
2022-08-01,PP-MRP,427
2022-09-01,PP-MRP,401
2022-10-01,PP-MRP,420
2022-11-01,PP-MRP,440
2022-12-01,PP-MRP,488
2023-01-01,PP-MRP,495
2023-02-01,PP-MRP,473
2023-03-01,PP-MRP,516
2023-04-01,PP-MRP,498
2023-05-01,PP-MRP,479
2023-06-01,PP-MRP,482
2023-07-01,PP-MRP,470
2023-08-01,PP-MRP,454
2023-09-01,PP-MRP,417
2023-10-01,PP-MRP,433
2023-11-01,PP-MRP,459
2023-12-01,PP-MRP,491
